,ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
279,8,White Non-Hispanic,2015,2015,72392,969.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
280,9,Hispanic,2015,2015,43037,2824.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
281,0,Total,2014,2014,53657,93.0,United States,01000US,united-states
282,1,White,2014,2014,57355,94.0,United States,01000US,united-states
283,2,Black,2014,2014,35481,167.0,United States,01000US,united-states
284,3,Native American,2014,2014,37227,789.0,United States,01000US,united-states
285,4,Asian,2014,2014,74105,683.0,United States,01000US,united-states
286,5,Pacific Islander,2014,2014,52815,2474.0,United States,01000US,united-states
287,6,Other,2014,2014,40865,303.0,United States,01000US,united-states
288,7,Two Or More,2014,2014,48424,715.0,United States,01000US,united-states
289,8,White Non-Hispanic,2014,2014,59622,115.99999999999999,United States,01000US,united-states
